epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,7409.51,0.9293,1.63055,0.69909,1.16929,0.93881,0.91472,0.96721,0.73158,0.94072,0.90376,0.96194,0.6154,0.91945,1.50879,0.55187,1.21234,0.000679033,0.000679033,0.000679033
46,7573.85,0.92965,1.62006,0.67723,1.1647,0.9193,0.92264,0.96328,0.72287,0.92268,0.91016,0.95984,0.61374,0.92669,1.48989,0.57213,1.2136,0.000661989,0.000661989,0.000661989
47,7738.28,0.9126,1.59114,0.67535,1.15149,0.93461,0.93233,0.9674,0.73472,0.94557,0.91127,0.9602,0.6248,0.89711,1.47575,0.5424,1.19945,0.000644944,0.000644944,0.000644944
48,7902.87,0.90157,1.57264,0.63853,1.14326,0.93894,0.92034,0.96621,0.74086,0.93772,0.91846,0.95845,0.62299,0.88418,1.47867,0.54516,1.18674,0.000627899,0.000627899,0.000627899
49,8066.6,0.88388,1.56795,0.64626,1.13589,0.96353,0.90319,0.96953,0.74413,0.96132,0.91663,0.96537,0.62881,0.88287,1.46999,0.52712,1.17607,0.000610854,0.000610854,0.000610854
50,8231.05,0.88878,1.56116,0.63571,1.13916,0.93965,0.92936,0.96903,0.74922,0.9415,0.93125,0.96335,0.62774,0.8793,1.47294,0.51781,1.19264,0.00059381,0.00059381,0.00059381
51,8394.45,0.87997,1.54295,0.6394,1.13369,0.94248,0.93434,0.97767,0.75263,0.94126,0.93315,0.97203,0.63601,0.90138,1.44741,0.49815,1.20204,0.000576765,0.000576765,0.000576765
52,8557.57,0.89034,1.56305,0.62627,1.13528,0.9455,0.94118,0.97447,0.74801,0.94408,0.94032,0.97103,0.64103,0.9046,1.43861,0.5219,1.19242,0.00055972,0.00055972,0.00055972
53,8719.84,0.88736,1.54212,0.61154,1.14185,0.95437,0.92674,0.9715,0.75525,0.95808,0.91556,0.96945,0.64182,0.88033,1.43297,0.51399,1.17102,0.000542676,0.000542676,0.000542676
54,8884.08,0.87394,1.51552,0.61141,1.1272,0.9377,0.93674,0.97128,0.74889,0.94527,0.93543,0.96865,0.63221,0.87291,1.45622,0.49621,1.16337,0.000525631,0.000525631,0.000525631
55,9047.22,0.86877,1.51758,0.6025,1.1215,0.94521,0.93152,0.97046,0.74975,0.9438,0.93074,0.9691,0.63663,0.88667,1.45877,0.50523,1.18385,0.000508586,0.000508586,0.000508586
56,9211.14,0.86203,1.48259,0.5939,1.12291,0.9482,0.92291,0.97138,0.75261,0.95345,0.92781,0.97148,0.63336,0.87573,1.44476,0.48602,1.17422,0.000491542,0.000491542,0.000491542
57,9374.17,0.86056,1.48634,0.59293,1.11316,0.93971,0.93616,0.97118,0.75291,0.94769,0.92601,0.96882,0.64298,0.87477,1.4229,0.50283,1.17034,0.000474497,0.000474497,0.000474497
58,9539.02,0.84355,1.47746,0.5802,1.10653,0.95346,0.9364,0.97354,0.75604,0.96262,0.93278,0.97351,0.64177,0.87182,1.4225,0.4816,1.17373,0.000457452,0.000457452,0.000457452
